,blue top,blue jungle,blue mid,blue bottom,blue support,red top,red jungle,red mid,red bottom,red support,blue team win rate
197,22361931,59741481,20017989,43906168,40111009,59173882,52370845,48984314,28999528,23228684,0.4606401002514045
198,48073490,63829727,40150403,47705215,39268625,61960162,19131193,25660698,20217652,50634992,0.5082220637334796
199,52755017,34264026,50673770,31313107,35519366,26643880,27140315,25903815,49149125,52795820,0.5120635138323759
200,22739784,53740460,39015535,21398372,21247234,21546178,19664713,31673653,18991942,27949945,0.47869826321538406
201,48700734,37042829,32902228,455875,19901298,42921099,30771198,25783671,47302556,34769099,0.49764850480719086
202,37981408,25009918,24917609,19806504,39099123,31581127,20816855,39964609,39046177,20160213,0.5359407610296899
203,50510010,34218011,31953976,43963493,34189229,19602208,19950368,23465766,20288978,31515251,0.4884180022349986
204,50172788,63428887,44612197,59803744,26815961,23659961,50779057,37957022,48412060,28348979,0.4840528196205672
205,20427299,40379345,61439093,40947452,30670520,21348931,25779235,47444296,37054612,31977196,0.5288189845642659
206,39179531,23884882,7167,20874135,20037586,52371737,61845655,20687605,25512394,38777854,0.47953181776897713
207,24795875,59992491,22228108,24271384,56501034,22165964,59298833,37492684,19392108,29432284,0.4730324788546282
208,46791334,53875983,25196751,45139753,22362101,45003297,19843554,51840382,46034452,46124112,0.5210226522743672
209,34829490,30295328,45548401,24677780,22083721,36790969,38256140,39685894,60300325,59811319,0.5401635852161437
210,37313242,41268981,45239229,21276636,31554737,33339857,33360904,43861283,22040445,35466139,0.4747054075590947
211,20108179,49180964,54821250,24493526,41206173,50789060,51531854,43502597,50282226,53393203,0.5024326230143323
212,38661762,29265315,48509226,59749186,39177194,51801299,31994150,19202703,26232784,29631413,0.4545682192389554
213,37914698,51157673,43535214,25818575,49270409,30203019,19885850,31055406,22813069,21315673,0.45451870593032
214,32254426,21195844,34981504,38054383,23325671,35590087,30552232,31011226,24968978,30194392,0.4903342910671145
215,40059698,23651670,57670207,59529166,19830972,59658525,47456254,24868941,21977896,20390261,0.5072350141570974
216,35304962,48492190,53043649,19195618,39850529,23607027,64181151,30219416,45153103,33993989,0.5130688860745514
217,50373262,40553523,40753612,61619434,46740372,59059500,25491308,39977160,22130140,50409152,0.5194126819373103
218,36950361,53043862,30430639,51442357,40736596,19930474,27704536,25713045,19012695,52452737,0.5171041967406975
219,26513771,56900164,58093254,47341931,36464493,45761868,34516762,23675167,60607396,42062020,0.5090418529724733
220,64980052,47581343,47745873,45479294,23454489,26641079,50242516,28632032,44629294,19699100,0.49102427744410676
221,26795450,38409651,4143,27872831,23018569,34609906,23554899,40790040,20193087,39246531,0.4679304619002062
222,22489744,54854864,23340048,47464441,37477314,50823228,36765187,19953731,27762401,497767,0.5269575649902485
223,25334586,20321738,42040842,31144073,50845629,50636450,65090163,34527821,61484621,36931823,0.4815245783803716
224,27410332,47189125,23047376,19763379,51473388,38670022,24965752,23355489,29227753,36456953,0.49476420674736166
225,49248629,20007020,28511308,59742415,59800254,36794453,24049859,45306357,38314836,21539973,0.46007452222602224
226,51665561,56343004,47461227,25866042,23977236,47352098,46659854,63427615,53955711,39924326,0.47942465778708193
227,36604602,26458318,20331041,52611065,25855014,34077207,39154618,19536841,43390599,38048513,0.5153411739261522
228,48591439,57448461,48356636,24883142,24781642,79681305,20108463,45529429,46251841,30664154,0.4917118024071116
229,43923972,40930802,40532850,30516984,20789906,24668640,21966736,26180779,37142365,22249559,0.510321972873392
230,36690569,45755454,26364688,24835577,27705464,59327026,24328537,40315129,28719449,43592710,0.5223867990408294
231,45651509,40693884,40795640,49511326,27423229,19916419,28531895,46543398,53966833,26862517,0.5253829834209633
232,31184694,24685657,45673382,24737906,35068508,26328024,45064364,60735536,36011357,74821356,0.5109782012367317
233,22491374,55487758,40407093,270964,23587505,45821610,19986195,36461212,40351882,62070348,0.4788116397038275
234,49202974,25420914,61045824,31844315,49274823,22932476,34982543,24690090,58222573,25134191,0.4667013179479131
235,23150622,29293799,23889885,37306284,30545101,43660018,63629996,43580913,27780091,43276405,0.521820001180775
236,25086484,39125762,35027221,32940939,37780824,43082966,48464116,39268187,23589231,25382750,0.546398364433184
237,19915409,29207274,39800352,25931885,24443438,20902160,37542491,22539887,21819002,51219505,0.48177262541287985
238,21574624,24068958,32750901,47465138,19920298,25038318,38349569,35521784,32274878,47834992,0.5017486494812723
